date,revenue,orders,profit,aov,revenue_ma7
2026-05-28,76130.61,168,33963.76,453.16,
2026-05-29,135428.22,312,60077.05,434.06,
2026-05-30,128866.98,322,55675.78,400.21,
2026-05-31,142978.16,328,62475.27,435.91,
2026-06-01,135780.53,327,58487.2,415.23,
2026-06-02,146337.3,312,64366.4,469.03,
2026-06-03,126745.94,312,55713.54,406.24,127466.82
2026-06-04,131400.96,303,57503.4,433.67,135362.58
2026-06-05,114011.79,295,49350.05,386.48,132303.09
2026-06-06,158411.45,303,67690.61,522.81,136523.73
2026-06-07,140897.28,340,61647.9,414.4,136226.46
2026-06-08,147001.11,311,62920.57,472.67,137829.4
2026-06-09,104041.83,273,44420.92,381.11,131787.19
2026-06-10,144958.31,323,63902.94,448.79,134388.96
2026-06-11,134868.68,302,57066.99,446.59,134884.35
2026-06-12,147029.53,321,63383.49,458.04,139601.17
2026-06-13,106930.31,313,48354.96,341.63,132246.72
2026-06-14,142156.55,320,61956.77,444.24,132426.62
2026-06-15,132217.17,307,58146.48,430.67,130314.63
2026-06-16,139443.0,307,61482.56,454.21,135371.94
2026-06-17,121683.38,299,54971.95,406.97,132046.95
2026-06-18,139771.99,311,61576.78,449.43,132747.42
2026-06-19,132026.49,314,57117.07,420.47,130604.13
2026-06-20,129729.68,330,54449.0,393.12,133861.18
2026-06-21,132908.44,305,57980.36,435.77,132540.02
2026-06-22,134023.33,327,59499.09,409.86,132798.04
2026-06-23,128299.92,287,57355.68,447.04,131206.18
2026-06-24,126740.5,323,54828.8,391.17,131928.62
2026-06-25,124037.88,321,55605.32,386.41,129680.89
2026-06-26,147380.19,316,65677.24,466.39,131874.28
2026-06-27,142751.57,308,63935.55,463.48,133734.55
2026-06-28,111408.0,293,48243.55,380.23,130663.06
2026-06-29,133352.12,309,58035.16,431.56,130567.17
2026-06-30,123090.96,307,54973.08,400.95,129823.03
2026-07-01,113229.92,311,50063.43,364.08,127892.95
2026-07-02,124829.3,284,52522.74,439.54,128006.01
2026-07-03,149796.22,329,65595.73,455.31,128351.16
2026-07-04,130476.3,308,56991.16,423.62,126597.55
2026-07-05,146437.18,298,62798.0,491.4,131601.71
2026-07-06,142201.82,306,60544.19,464.71,132865.96
2026-07-07,151137.68,310,66643.09,487.54,136872.63
2026-07-08,131488.99,301,57407.45,436.84,139481.07
2026-07-09,142502.66,297,60177.36,479.81,142005.84
2026-07-10,130660.31,304,58724.26,429.8,139272.13
2026-07-11,133355.2,312,58113.46,427.42,139683.41
2026-07-12,121058.91,299,53919.81,404.88,136057.94
2026-07-13,137525.32,274,57974.84,501.92,135389.87
2026-07-14,145780.11,314,65419.04,464.27,134624.5
2026-07-15,138335.26,324,58636.01,426.96,135602.54
2026-07-16,113171.14,281,48730.41,402.74,131412.32
2026-07-17,126346.23,299,52115.51,422.56,130796.02
2026-07-18,130120.38,328,57117.21,396.71,130333.91
2026-07-19,121816.73,277,53298.67,439.77,130442.17
2026-07-20,136520.07,324,58857.52,421.36,130298.56
2026-07-21,142554.5,314,59476.91,454.0,129837.76
2026-07-22,123373.1,295,51300.4,418.21,127700.31
2026-07-23,132565.82,297,57225.96,446.35,130470.98
2026-07-24,166144.8,323,73627.73,514.38,136156.49
2026-07-25,152539.14,319,67314.73,478.18,139359.17
2026-07-26,127779.9,300,54209.63,425.93,140211.05
2026-07-27,144239.39,317,64334.89,455.01,141313.81
2026-07-28,128068.78,319,55342.82,401.47,139244.42
2026-07-29,117263.06,303,51379.18,387.01,138371.56
2026-07-30,126688.2,316,54611.89,400.91,137531.9
2026-07-31,118775.82,310,51268.54,383.15,130764.9
2026-08-01,131237.84,305,58119.9,430.29,127721.86
2026-08-02,142942.48,321,61180.0,445.3,129887.94
2026-08-03,136236.88,292,59288.4,466.56,128744.72
2026-08-04,118023.34,292,50443.33,404.19,127309.66
2026-08-05,131414.78,280,56861.01,469.34,129331.33
2026-08-06,129024.75,286,56301.66,451.14,129665.13
2026-08-07,145951.2,333,64100.92,438.29,133547.32
2026-08-08,146872.61,308,65533.64,476.86,135780.86
2026-08-09,135519.76,319,59703.28,424.83,134720.47
2026-08-10,137155.87,326,62004.83,420.72,134851.76
2026-08-11,106892.77,290,48725.9,368.6,133261.68
2026-08-12,102974.3,267,44806.38,385.67,129198.75
2026-08-13,135626.13,291,56479.17,466.07,130141.81
2026-08-14,127674.34,296,54490.77,431.33,127530.83
2026-08-15,138162.68,330,59966.68,418.67,126286.55
2026-08-16,135179.81,301,58851.1,449.1,126237.99
2026-08-17,155187.96,327,67388.72,474.58,128814.0
2026-08-18,130895.98,292,56000.9,448.27,132243.03
2026-08-19,139534.36,316,60105.35,441.56,137465.89
2026-08-20,147363.37,294,64991.19,501.24,139142.64
2026-08-21,159606.27,360,67225.75,443.35,143704.35
2026-08-22,131401.97,346,56979.92,379.77,142738.53
2026-08-23,135024.59,327,57993.74,412.92,142716.36
2026-08-24,118392.94,274,51550.21,432.09,137459.93
2026-08-25,135555.6,314,57657.24,431.71,138125.59
2026-08-26,54391.86,135,23163.13,402.9,125962.37
